source_alias,best_match,score,note
* Calciatori non più in campionato - Data download 15/09/2025,FC Bioparco,0.409,rapidfuzz
A,AS Plusvalenza,0.600,rapidfuzz
Acerbi,Atletico Milo,0.450,rapidfuzz
Adams C.,FC Dude,0.380,rapidfuzz
Angelino,Atletico Milo,0.450,rapidfuzz
Anjorin,AS Quiriti,0.353,rapidfuzz
Ata,Atletico Milo,0.720,rapidfuzz
Atta,Atletico Milo,0.600,rapidfuzz
Audero,FC Dude,0.462,rapidfuzz
Bailey,y,0.900,rapidfuzz
Barella,AS Plusvalenza,0.415,rapidfuzz
Baschirotto,FC Bioparco,0.364,rapidfuzz
Bastoni,Atletico Milo,0.386,rapidfuzz
Baturina,AS Plusvalenza,0.386,rapidfuzz
Bellanova,AS Plusvalenza,0.415,rapidfuzz
Belotti,Atletico Milo,0.415,rapidfuzz
Berardi,FC Bioparco,0.395,rapidfuzz
Bernabè,AS Plusvalenza,0.491,rapidfuzz
Bernardeschi,FC Bioparco,0.348,rapidfuzz
Biraghi,FC Bioparco,0.427,rapidfuzz
Bisseck,FC Bioparco,0.386,rapidfuzz
Bol,Good Old Boys,0.684,rapidfuzz
Bonny,y,0.900,rapidfuzz
Bravo,Good Old Boys,0.489,rapidfuzz
Bremer,FC Bioparco,0.300,rapidfuzz
Brescianini,AS Quiriti,0.286,rapidfuzz
Buksa,AS Plusvalenza,0.540,rapidfuzz
Buongiorno,FC Bioparco,0.476,rapidfuzz
Butez,AS Plusvalenza,0.400,rapidfuzz
C,FC Dude,0.900,rapidfuzz
Calciatore,FC Pachuca,0.400,rapidfuzz
Calhanoglu,FC Pachuca,0.400,rapidfuzz
Camarda,FC Pachuca,0.353,rapidfuzz
Cambiaghi,FC Pachuca,0.316,rapidfuzz
Cambiaso,FC Bioparco,0.421,rapidfuzz
Carboni V.,FC Bioparco,0.381,rapidfuzz
Carlos Augusto,Atletico Milo,0.422,rapidfuzz
Carnesecchi,FC Pachuca,0.381,rapidfuzz
Casadei,FC Dude,0.429,rapidfuzz
Castellanos,Atletico Milo,0.333,rapidfuzz
Castro S.,FC Bioparco,0.400,rapidfuzz
Collocolo,Atletico Milo,0.455,rapidfuzz
Colombo,Atletico Milo,0.415,rapidfuzz
Com,Atletico Milo,0.450,rapidfuzz
Conceicao,FC Pachuca,0.421,rapidfuzz
Cornet,AS Quiriti,0.360,rapidfuzz
Costo,Good Old Boys,0.450,rapidfuzz
Cre,FC Dude,0.450,rapidfuzz
Crediti Residui: 12,AS Quiriti,0.427,rapidfuzz
Crediti Residui: 300,AS Quiriti,0.427,rapidfuzz
Crediti Residui: 31,AS Quiriti,0.427,rapidfuzz
Cristante,AS Plusvalenza,0.318,rapidfuzz
Cutrone,FC Dude,0.429,rapidfuzz
D,FC Dude,0.900,rapidfuzz
DENDROBATIDI,FC Dude,0.225,rapidfuzz
Da Cunha,AS Plusvalenza,0.386,rapidfuzz
Dallinga,AS Plusvalenza,0.514,rapidfuzz
Darmian,FC Bioparco,0.327,rapidfuzz
David,FC Dude,0.333,rapidfuzz
Davis K.,Good Old Boys,0.263,rapidfuzz
De Bruyne,y,0.600,rapidfuzz
De Gea,FC Dude,0.438,rapidfuzz
De Ketelaere,FC Dude,0.513,rapidfuzz
De Roon,FC Dude,0.407,rapidfuzz
De Vrij,FC Dude,0.407,rapidfuzz
Dele-Bashiru,FC Dude,0.400,rapidfuzz
Delprato,Atletico Milo,0.360,rapidfuzz
Di Gregorio,FC Bioparco,0.364,rapidfuzz
Di Lorenzo,FC Bioparco,0.381,rapidfuzz
Dia,AS Plusvalenza,0.450,rapidfuzz
Diao,Atletico Milo,0.514,rapidfuzz
Dimarco,FC Bioparco,0.655,rapidfuzz
Dodò,FC Dude,0.489,rapidfuzz
Douvikas,Nova Spes,0.471,rapidfuzz
Dovbyk,y,0.900,rapidfuzz
Dumfries,FC Dude,0.400,rapidfuzz
Dybala,y,0.900,rapidfuzz
Dzeko,Atletico Milo,0.360,rapidfuzz
Ederson D.S.,FC Dude,0.360,rapidfuzz
Ekkelenkamp,AS Plusvalenza,0.320,rapidfuzz
El Aynaoui,y,0.600,rapidfuzz
Elmas,AS Plusvalenza,0.360,rapidfuzz
Esposito Se.,Nova Spes,0.381,rapidfuzz
Estupinan,AS Plusvalenza,0.318,rapidfuzz
Fagioli,FC Bioparco,0.415,rapidfuzz
Falcone,FC Bioparco,0.491,rapidfuzz
Fazzini,FC Bioparco,0.300,rapidfuzz
Fc Bioparco,FC Bioparco,0.909,rapidfuzz
Ferguson,AS Plusvalenza,0.338,rapidfuzz
Ferguson E.,FC Dude,0.400,rapidfuzz
Fio,Atletico Milo,0.600,rapidfuzz
Fofana Y.,AS Plusvalenza,0.360,rapidfuzz
Folorunsho,FC Bioparco,0.381,rapidfuzz
Frattesi,Atletico Milo,0.386,rapidfuzz
Frendrup,AS Plusvalenza,0.300,rapidfuzz
Freuler,FC Dude,0.429,rapidfuzz
Fuori lista,FC Dude,0.400,rapidfuzz
Gen,AS Plusvalenza,0.600,rapidfuzz
Gila,Atletico Milo,0.514,rapidfuzz
Gimenez,AS Plusvalenza,0.491,rapidfuzz
Giovane,Nova Spes,0.500,rapidfuzz
Gosens,AS Plusvalenza,0.450,rapidfuzz
Gronbaek,Good Old Boys,0.360,rapidfuzz
Gudmundsson A.,FC Dude,0.360,rapidfuzz
Guendouzi,AS Plusvalenza,0.415,rapidfuzz
Harroui,FC Bioparco,0.491,rapidfuzz
Hien,AS Plusvalenza,0.450,rapidfuzz
Hojlund,Good Old Boys,0.395,rapidfuzz
Immobile,Atletico Milo,0.386,rapidfuzz
Int,AS Quiriti,0.360,rapidfuzz
Isaksen,AS Plusvalenza,0.514,rapidfuzz
Israel,AS Plusvalenza,0.450,rapidfuzz
Jashari,FC Pachuca,0.353,rapidfuzz
Kalulu,AS Plusvalenza,0.450,rapidfuzz
Kean,AS Plusvalenza,0.450,rapidfuzz
Konè M.,Atletico Milo,0.415,rapidfuzz
Koopmeiners,Nova Spes,0.400,rapidfuzz
Kossounou,Good Old Boys,0.345,rapidfuzz
Krstovic,Atletico Milo,0.360,rapidfuzz
Kuhn,FC Dude,0.285,rapidfuzz
Lang,AS Plusvalenza,0.450,rapidfuzz
Laurientè,AS Quiriti,0.421,rapidfuzz
Laz,AS Plusvalenza,0.450,rapidfuzz
Leali,AS Plusvalenza,0.400,rapidfuzz
Leao,AS Plusvalenza,0.450,rapidfuzz
Lec,FC Dude,0.450,rapidfuzz
Lobotka,Good Old Boys,0.360,rapidfuzz
Locatelli,Nova Spes,0.333,rapidfuzz
Loftus-Cheek,FC Dude,0.300,rapidfuzz
Lookman,Good Old Boys,0.360,rapidfuzz
Lovric,FC Bioparco,0.450,rapidfuzz
Lucca,FC Pachuca,0.675,rapidfuzz
Lucumì,FC Pachuca,0.400,rapidfuzz
Lukaku,FC Pachuca,0.400,rapidfuzz
Maignan,AS Plusvalenza,0.415,rapidfuzz
Maldini,AS Plusvalenza,0.415,rapidfuzz
Mancini,Atletico Milo,0.327,rapidfuzz
Mandas,AS Plusvalenza,0.450,rapidfuzz
Mandragora,FC Bioparco,0.286,rapidfuzz
Martin,AS Quiriti,0.540,rapidfuzz
Martinez L.,AS Quiriti,0.362,rapidfuzz
Marusic,FC Bioparco,0.491,rapidfuzz
McTominay,y,0.600,rapidfuzz
Meret,AS Quiriti,0.400,rapidfuzz
Messias,AS Plusvalenza,0.327,rapidfuzz
Mil,Atletico Milo,0.900,rapidfuzz
Mina,AS Plusvalenza,0.514,rapidfuzz
Miranda J.,AS Plusvalenza,0.317,rapidfuzz
Mkhitaryan,y,0.600,rapidfuzz
Modric,FC Bioparco,0.450,rapidfuzz
Morata,AS Quiriti,0.360,rapidfuzz
Mosquera,AS Plusvalenza,0.338,rapidfuzz
N'Dicka,FC Bioparco,0.285,rapidfuzz
Nap,Nova Spes,0.500,rapidfuzz
Ndoye,y,0.900,rapidfuzz
Neres,Nova Spes,0.514,rapidfuzz
Ngonge,Nova Spes,0.450,rapidfuzz
Nicolussi Caviglia,Atletico Milo,0.387,rapidfuzz
Nkunku,Nova Spes,0.257,rapidfuzz
Nome,Nova Spes,0.600,rapidfuzz
Nova Spes,Nova Spes,1.000,rapidfuzz
Nzola,Nova Spes,0.600,rapidfuzz
Odgaard,Good Old Boys,0.342,rapidfuzz
Olivera,AS Plusvalenza,0.450,rapidfuzz
Openda,AS Plusvalenza,0.540,rapidfuzz
Orban G.,Good Old Boys,0.321,rapidfuzz
Oristanio,AS Quiriti,0.421,rapidfuzz
Orsolini,AS Plusvalenza,0.338,rapidfuzz
P,AS Plusvalenza,0.600,rapidfuzz
Par,FC Bioparco,0.600,rapidfuzz
Pasalic,AS Plusvalenza,0.514,rapidfuzz
Pavard,AS Plusvalenza,0.450,rapidfuzz
Pavlovic,Atletico Milo,0.360,rapidfuzz
Paz N.,FC Pachuca,0.466,rapidfuzz
Pedro,FC Bioparco,0.450,rapidfuzz
Pellegrini Lo.,AS Plusvalenza,0.407,rapidfuzz
Pellegrino M.,Atletico Milo,0.462,rapidfuzz
Piccoli,Atletico Milo,0.514,rapidfuzz
Pierotti,AS Quiriti,0.444,rapidfuzz
Pinamonti,AS Quiriti,0.316,rapidfuzz
Pobega,AS Plusvalenza,0.360,rapidfuzz
Politano,Atletico Milo,0.386,rapidfuzz
Posch,FC Pachuca,0.540,rapidfuzz
Provedel,Good Old Boys,0.366,rapidfuzz
Pulisic,AS Plusvalenza,0.386,rapidfuzz
Rabiot,AS Quiriti,0.400,rapidfuzz
Ricci S.,Atletico Milo,0.338,rapidfuzz
Rom,Atletico Milo,0.450,rapidfuzz
Romagnoli,FC Bioparco,0.300,rapidfuzz
Rose lega Fantalega Darko Pancev,FC Bioparco,0.475,rapidfuzz
Rovella,AS Plusvalenza,0.386,rapidfuzz
Rowe,Atletico Milo,0.360,rapidfuzz
Rrahmani,FC Pachuca,0.333,rapidfuzz
Ruolo,Atletico Milo,0.514,rapidfuzz
Saelemaekers,AS Plusvalenza,0.385,rapidfuzz
Samardzic,AS Quiriti,0.316,rapidfuzz
Sanabria,AS Plusvalenza,0.386,rapidfuzz
Sarr A.,AS Plusvalenza,0.380,rapidfuzz
Sas,AS Plusvalenza,0.450,rapidfuzz
Scalvini,AS Plusvalenza,0.386,rapidfuzz
Scamacca,FC Pachuca,0.444,rapidfuzz
Simeone,Atletico Milo,0.360,rapidfuzz
Skorupski,AS Plusvalenza,0.338,rapidfuzz
Sohm,Atletico Milo,0.360,rapidfuzz
Solet,Atletico Milo,0.540,rapidfuzz
Sommer,Nova Spes,0.360,rapidfuzz
Sottil,AS Quiriti,0.450,rapidfuzz
Soulè,AS Plusvalenza,0.360,rapidfuzz
Squadra,AS Plusvalenza,0.381,rapidfuzz
Stanciu,Atletico Milo,0.386,rapidfuzz
Stengs,Nova Spes,0.540,rapidfuzz
Strefezza,AS Plusvalenza,0.415,rapidfuzz
Stulic,Atletico Milo,0.600,rapidfuzz
Sucic P.,AS Plusvalenza,0.450,rapidfuzz
Sulemana K.,AS Plusvalenza,0.480,rapidfuzz
Svilar,AS Quiriti,0.450,rapidfuzz
Tavares N.,Nova Spes,0.500,rapidfuzz
Thauvin,AS Plusvalenza,0.386,rapidfuzz
Thorstvedt,Nova Spes,0.316,rapidfuzz
Thuram,FC Pachuca,0.540,rapidfuzz
Thuram K.,FC Pachuca,0.400,rapidfuzz
Tomori,Good Old Boys,0.400,rapidfuzz
Tor,Atletico Milo,0.450,rapidfuzz
Tourè I.,AS Quiriti,0.317,rapidfuzz
Tramoni M.,AS Quiriti,0.285,rapidfuzz
Valeri,AS Plusvalenza,0.450,rapidfuzz
Vandeputte,Nova Spes,0.316,rapidfuzz
Vardy,y,0.900,rapidfuzz
Vazquez,AS Plusvalenza,0.415,rapidfuzz
Ver,FC Dude,0.450,rapidfuzz
Vlahovic,Atletico Milo,0.360,rapidfuzz
Vlasic,Atletico Milo,0.450,rapidfuzz
Wesley,y,0.900,rapidfuzz
Yildiz,Good Old Boys,0.427,rapidfuzz
Zaccagni,FC Pachuca,0.444,rapidfuzz
Zalewski,AS Plusvalenza,0.386,rapidfuzz
Zambo Anguissa,AS Plusvalenza,0.339,rapidfuzz
Zaniolo,Atletico Milo,0.540,rapidfuzz
Zapata D.,FC Pachuca,0.300,rapidfuzz
Zappacosta,FC Bioparco,0.381,rapidfuzz
Zerbin,AS Plusvalenza,0.360,rapidfuzz
Zhegrova,Nova Spes,0.353,rapidfuzz
Zortea,AS Plusvalenza,0.360,rapidfuzz
fc Pachuca,FC Pachuca,0.800,rapidfuzz
https://leghe.fantacalcio.it/fantalega-darko-pancev,FC Bioparco,0.379,rapidfuzz
